Name,Age,Occupation,Hometown,Height,ElimWeek,Season
Amanda Goerlitz,24,Ballet Teacher,"Lake in the Hills, Illinois",,1,19
Bo Stanley,25,Plus-Size Model,"Carpinteria, California",,1,19
Brittany Fetkin,26,WWE Diva-in-Training,"Temecula, California",,1,19
Kara Wilson,25,High School Soccer Coach,"Brownsville, Kentucky",,1,19
Michelle Davis,25,Wedding Cake Baker,"Provo, Utah",,1,19
Nicole Meacham,31,Real Estate Agent,"Scottsdale, Arizona",,1,19
Reegan Cornwell,28,Cadaver Tissue Saleswoman,"Manhattan Beach, California",,1,19
Lauren Bushnell,25,Flight Attendant,"West Linn, Oregon",,,20
"Joelle ""JoJo"" Fletcher",24,Real Estate Developer,"Dallas, Texas",,10,20
Caila Quinn,24,Software Sales Representative,"Hudson, Ohio",,9,20
Amanda Stanton,25,Esthetician,"Rancho Santa Margarita, California",,8,20
Becca Tilley,26,Chiropractic Assistant,"Shreveport, Louisiana",,7,20
Emily Ferguson,23,Waitress,"Las Vegas, Nevada",,7,20
Lauren Himle,25,Kindergarten Teacher,"Dexter, Michigan",,6,20
Olivia Caridi,23,Former News Anchor,"Bristol, Virginia",,6,20
Leah Block,25,Event Planner,"Greenwood Village, Colorado",,6,20
Jennifer Saviano,25,Small Business Owner,"Lauderdale Lakes, Florida",,5,20
Jubilee Sharpe,24,War Veteran,"Fort Lauderdale, Florida",,5,20
Amber James,30,Bartender,"Kankakee, Illinois",,4,20
Rachel Tchen,23,Unemployed,"Little Rock, Arkansas",,4,20
Haley Ferguson,23,Waitress,"Las Vegas, Nevada",,4,20
Jami Letain,23,Bartender,"St. Albert, Alberta",,3,20
Shushanna Mkrtychyan,27,Mathematician,"Salt Lake City, Utah",,3,20
Lace Morris,25,Real Estate Agent,"Denver, Colorado",,3,20
"Amanda ""Mandi"" Kremer",28,Dentist,"Portland, Oregon",,2,20
"Jacqueline ""Jackie"" Dion",23,Gerontologist,"Newport Beach, California",,2,20
Samantha Passmore,26,Attorney,"New Smyrna Beach, Florida",,2,20
"Lauren ""LB"" Barr",23,Fashion Buyer,"Stillwater, Oklahoma",,2,20
Breanne Rice,30,Nutritional Therapist,"Seattle, Washington",,1,20
"Isabel ""Izzy"" Goodkind",24,Graphic Designer,"Branford, Connecticut",,1,20
Jessica Moser,23,Accountant,"Boca Raton, Florida",,1,20
Laura Esselman,24,Account Executive,"Louisville, Kentucky",,1,20
Lauren Russell,26,Math Teacher,"Houston, Texas",,1,20
Maegan Miller,30,Cowgirl,"Visalia, California",,1,20
Tiara Soleim,27,Chicken Enthusiast,"Redmond, Washington",,1,20
Alexis,23,Aspiring Dolphin Trainer,"Secaucus, NJ",66,5,21
Angela,26,Model,"Greenville, SC",67,1,21
Astrid,26,Plastic Surgery Office Manager,"Tampa, FL",67.5,4,21
Briana,28,Surgical Unit Nurse,"Salt Lake City, UT",64,1,21
Brittany,26,Travel Nurse,"Santa Monica, CA",62,3,21
Christen,25,Wedding Videographer,"Tulsa, OK",65,3,21
Corinne,24,Business Owner,"Miami, FL",61,8,21
